raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-4.114285376660476778e+00,-2.662508967980850905e+00,-1.306385786241622826e+00,-1.252703310635090217e+00,-2.061195708795873216e+00,-2.949557655459799754e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,-2.174829184445097301e-03,2.655764803690597694e-05,-1.391077680918372146e-03,1.185660636375885556e-04
1.000000000000000000e+00,-6.713165900104404171e-01,-1.168774316308021088e+00,-1.281642579457612063e+00,-1.250344297661791337e+00,-1.995633724275786225e+00,-2.848202212574632242e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,4.336184240617619312e-01,3.180265862103400787e-01,5.282040476339612489e+00,3.728721406464427623e+00,8.944608180769540340e+00,6.297605042961118116e+00
2.000000000000000000e+00,-7.050711859579897878e-01,-1.163245378670737296e+00,-1.281642579457612063e+00,-1.247985284688492458e+00,-1.926914222867549542e+00,-2.732228196196411663e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,-3.180192279755623130e-01,1.738426509880248994e-02,-3.714866829667490933e+00,-8.909695276376601580e-02,-6.359107974332838253e+00
3.000000000000000000e+00,-7.050711859579897878e-01,-1.161402399458309365e+00,-1.281642579457612063e+00,-1.243267258741894921e+00,-1.854241609764700538e+00,-2.618203322950598544e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,4.344868909970765400e-03,-9.174416685871523980e-03,-1.391077680918372146e-03,6.185862956263249446e-02
4.000000000000000000e+00,-7.050711859579897878e-01,-1.166931337095593157e+00,-1.281642579457612063e+00,-1.236190219821998282e+00,-1.778709827826124856e+00,-2.508076735969599458e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,-2.173392346769268541e-02,-1.837539101977995332e-02,-1.391077680918372146e-03,1.185660636375885556e-04
5.000000000000000000e+00,-6.713165900104404171e-01,-1.155873461821025794e+00,-1.281642579457612063e+00,-1.226754167928802985e+00,-1.681672123775348027e+00,-2.389179004892767910e+00,5.458720240079470432e-02,-8.488544559978022930e-01,2.111316335217268580e+00,-9.700360933674100350e-01,9.102828171291621473e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,3.694335938205008107e-02,4.143094215062483737e-02,8.631479740192926631e-02,6.185862956263249446e-02
6.000000000000000000e+00,-6.713165900104404171e-01,-1.155873461821025794e+00,-1.281642579457612063e+00,-1.214959103062308809e+00,-1.563762487223769648e+00,-2.259560986587698217e+00,6.127268825584886863e-02,-8.488544559978022930e-01,-4.046205314822537424e-01,-9.700360933674100350e-01,5.107105660548117987e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,-2.174829184445097301e-03,-2.757636535368837918e-02,-1.391077680918372146e-03,-6.162149743535732388e-02
7.000000000000000000e+00,-7.050711859579897878e-01,-1.165088357883165227e+00,-1.133183338753547709e+00,-1.201984531709165083e+00,-1.466575609146780756e+00,-2.129942968282628080e+00,6.127268825584886863e-02,-8.488544559978022930e-01,-3.335266822121367714e-01,-9.700360933674100350e-01,6.148670238876641214e-01,-1.083851660099736769e+00,2.608150621215450826e+00,1.908141121675095864e+00,-3.477331965652441514e-02,-2.297587818673416798e-02,-8.909695276376601580e-02,-6.162149743535732388e-02
8.000000000000000000e+00,-7.050711859579897878e-01,-1.165088357883165227e+00,-1.133183338753547709e+00,-1.189009960356021578e+00,-1.369388731069792087e+00,-2.020790952867833390e+00,1.868754062309127550e-01,-8.488544559978022930e-01,-3.299873425834133900e-01,-9.700360933674100350e-01,7.289982548753388691e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,-1.908133763440318154e+00,-2.174829184445097301e-03,2.302899348280797870e-02,-1.391077680918372146e-03,6.185862956263249446e-02
9.000000000000000000e+00,-6.713165900104404171e-01,-1.150344524183742001e+00,-1.133183338753547709e+00,-1.175445635759553076e+00,-1.299637442646924157e+00,-1.917486366850259305e+00,3.802126443902459907e-01,-8.488544559978022930e-01,-3.391404397501012746e-01,-9.700360933674100350e-01,9.455744749770126356e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,4.998275557088180387e-02,3.683045498367062270e-02,8.631479740192926631e-02,6.185862956263249446e-02
1.000000000000000000e+01,-6.038073981153416758e-01,-6.587298192685940856e-01,-1.133183338753547709e+00,-1.161291557919760020e+00,-1.228593312663553538e+00,-1.817105495531295745e+00,3.889034524060825948e-01,-8.488544559978022930e-01,-3.547901905922622445e-01,-9.700360933674100350e-01,9.791897544551285693e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,1.736954637500986331e+00,1.190402612097439805e+00,1.740206724847768727e-01,6.185862956263249446e-02
1.100000000000000000e+01,-1.987522467447490615e-01,6.003207357829500046e-02,-1.133183338753547709e+00,-1.147137480079966965e+00,-1.154988361896880811e+00,-1.716724624212331518e+00,2.277203923268637520e-01,-8.488544559978022930e-01,-3.547901905922622445e-01,-9.700360933674100350e-01,8.808806936784018271e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,2.540507427637741511e+00,5.670366009751438563e-01,1.051079423313253214e+00,6.175192010535867082e-01
1.200000000000000000e+01,-3.337706305349465996e-01,-4.610702987356996019e-01,-1.133183338753547709e+00,-1.134162908726823238e+00,-1.083459416328321767e+00,-1.617318324459570356e+00,-8.087729439925134267e-02,-1.627904651385667367e-01,-3.474233393038003714e-01,8.823010800448609636e-01,8.197944852637313318e-01,8.318013755599238390e-01,-1.288015368975808234e-03,3.679117388858759305e-06,-1.845619465380530455e+00,-3.094951183920410465e+00,-3.522145780123089320e-01,-9.877224499202809094e-01
1.300000000000000000e+01,-4.687890143251440822e-01,-3.274543058346753299e-01,-1.034210511617504880e+00,-1.122367843860329062e+00,-1.018481696744231169e+00,-1.520835739405421272e+00,-1.009902354206681924e-01,-1.487271158830034412e-01,-3.547901905922622445e-01,-5.373635328929532440e-01,7.650528586765464878e-01,5.160590488926440900e-01,1.738337742353975202e+00,1.272095307489193639e+00,4.705032826607050134e-01,1.634349623708521548e+00,-3.522145780123089320e-01,1.185660636375885556e-04
1.400000000000000000e+01,-5.025436102726934529e-01,8.889400433420201197e-03,-9.599808912654728132e-01,-1.110572778993834886e+00,-9.558286057352748388e-01,-1.422404011218864062e+00,-1.227403181818423478e-01,-7.138993836963931916e-02,-3.624536098824004959e-01,-4.546904068737527282e-01,8.086186009370635031e-01,8.066639151370013083e-01,1.303431302923237389e+00,-3.180192279755623130e-01,1.187670073046449781e+00,5.060801460130004426e-01,-8.909695276376601580e-02,1.853387565606223197e-01
1.500000000000000000e+01,-6.038073981153416758e-01,-1.666543695503392430e-01,-9.847240980494834650e-01,-1.099367467370665263e+00,-8.948039978457962285e-01,-1.324946854598511692e+00,1.986914690282658991e-01,6.140642596084492505e-02,-3.624536098824004959e-01,-2.860324842885141883e-01,7.968506248731729302e-01,1.294895796780034081e+00,-4.361944547997135824e-01,-1.272087949254415928e+00,-6.231760726775560366e-01,-1.277758752973496170e+00,-2.645087029294612702e-01,-1.233615609343522296e-01
1.600000000000000000e+01,-6.713165900104404171e-01,-6.292421518697473015e-01,-1.034210511617504880e+00,-1.088162155747495863e+00,-8.342766367103580105e-01,-1.226515126411954038e+00,4.238273589427358212e-01,1.966836823335567919e-01,-3.644344383012012578e-01,-1.640369778353717167e-01,9.029364923696548972e-01,1.432678136400203694e+00,-8.711008942304512281e-01,-3.180192279755623130e-01,-1.638619050882826667e+00,-7.164993186050819807e-01,-1.768028278466136360e-01,6.185862956263249446e-02
1.700000000000000000e+01,-7.050711859579897878e-01,-9.858586294745500522e-01,-1.083696925185526405e+00,-1.076367090881001465e+00,-7.717727197276132989e-01,-1.125159683526786303e+00,4.558330967020848279e-01,2.920767995817500351e-01,-5.048902974879033723e-01,-1.735326860956442896e-01,7.727392691389496360e-01,1.534410843472623576e+00,-8.711008942304512281e-01,3.679117388858759305e-06,-1.263736410453914605e+00,2.645545697479042557e-01,-8.909695276376601580e-02,6.185862956263249446e-02
1.800000000000000000e+01,-6.713165900104404171e-01,-1.029629385769713190e+00,-1.108440131969536946e+00,-1.062802766284532963e+00,-6.974218988298811484e-01,-1.012109381847176692e+00,4.844394211562413344e-01,3.730605961633939316e-01,-3.105510096221905103e-01,-1.828883118255454632e-01,8.731826760369476581e-01,1.486951034909003599e+00,-4.361944547997135824e-01,3.180265862103400787e-01,-1.570176589268218459e-01,7.809592542385148661e-01,8.631479740192926631e-02,1.235986930616274071e-01
