Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
1.000000000000000000e+00,1.020000000000000000e+02,7.980000000000000000e+02,nan
2.000000000000000000e+00,nan,nan,nan
3.000000000000000000e+00,nan,7.895000000000000000e+02,nan
4.000000000000000000e+00,nan,7.920000000000000000e+02,3.000000000000000000e+00
5.000000000000000000e+00,nan,nan,nan
6.000000000000000000e+00,nan,7.890000000000000000e+02,5.000000000000000000e+00
7.000000000000000000e+00,nan,nan,nan
8.000000000000000000e+00,nan,nan,7.000000000000000000e+00
9.000000000000000000e+00,1.030000000000000000e+02,7.990000000000000000e+02,nan
1.000000000000000000e+01,1.010000000000000000e+02,7.810000000000000000e+02,3.000000000000000000e+00
1.100000000000000000e+01,nan,nan,nan
1.200000000000000000e+01,nan,7.945000000000000000e+02,0.000000000000000000e+00
1.300000000000000000e+01,nan,nan,nan
1.400000000000000000e+01,nan,7.935000000000000000e+02,2.000000000000000000e+00
1.500000000000000000e+01,nan,nan,nan
1.600000000000000000e+01,nan,7.900000000000000000e+02,0.000000000000000000e+00
1.700000000000000000e+01,nan,nan,nan
1.800000000000000000e+01,1.040000000000000000e+02,8.305000000000000000e+02,4.000000000000000000e+00
1.900000000000000000e+01,nan,nan,nan
2.000000000000000000e+01,1.080000000000000000e+02,1.458500000000000000e+03,1.000000000000000000e+01
2.100000000000000000e+01,nan,nan,nan
2.200000000000000000e+01,1.060000000000000000e+02,9.090000000000000000e+02,nan
2.300000000000000000e+01,nan,nan,nan
2.400000000000000000e+01,1.270000000000000000e+02,1.808500000000000000e+03,1.200000000000000000e+01
2.500000000000000000e+01,nan,nan,1.900000000000000000e+01
2.600000000000000000e+01,1.200000000000000000e+02,2.405500000000000000e+03,nan
2.700000000000000000e+01,nan,nan,2.300000000000000000e+01
2.800000000000000000e+01,1.110000000000000000e+02,1.287000000000000000e+03,nan
2.900000000000000000e+01,nan,1.348500000000000000e+03,2.100000000000000000e+01
3.000000000000000000e+01,9.700000000000000000e+01,nan,nan
3.100000000000000000e+01,nan,1.139500000000000000e+03,1.700000000000000000e+01
3.200000000000000000e+01,nan,nan,nan
3.300000000000000000e+01,1.010000000000000000e+02,1.011000000000000000e+03,1.500000000000000000e+01
3.400000000000000000e+01,nan,nan,nan
3.500000000000000000e+01,1.020000000000000000e+02,7.960000000000000000e+02,1.400000000000000000e+01
3.600000000000000000e+01,nan,nan,nan
3.700000000000000000e+01,1.010000000000000000e+02,7.815000000000000000e+02,1.100000000000000000e+01
3.800000000000000000e+01,nan,nan,nan
3.900000000000000000e+01,nan,7.685000000000000000e+02,9.000000000000000000e+00
4.000000000000000000e+01,nan,nan,nan
4.100000000000000000e+01,nan,7.905000000000000000e+02,nan
4.200000000000000000e+01,nan,nan,nan
4.300000000000000000e+01,1.040000000000000000e+02,1.317000000000000000e+03,1.000000000000000000e+01
4.400000000000000000e+01,nan,nan,nan
4.500000000000000000e+01,1.240000000000000000e+02,1.618500000000000000e+03,nan
4.600000000000000000e+01,nan,nan,nan
4.700000000000000000e+01,1.130000000000000000e+02,1.403500000000000000e+03,1.100000000000000000e+01
4.800000000000000000e+01,nan,nan,nan
4.900000000000000000e+01,1.080000000000000000e+02,1.363000000000000000e+03,7.000000000000000000e+00
5.000000000000000000e+01,nan,nan,nan
5.100000000000000000e+01,1.050000000000000000e+02,1.095500000000000000e+03,5.000000000000000000e+00
5.200000000000000000e+01,nan,nan,nan
5.300000000000000000e+01,1.020000000000000000e+02,8.180000000000000000e+02,7.000000000000000000e+00
5.400000000000000000e+01,nan,nan,8.000000000000000000e+00
5.500000000000000000e+01,nan,8.045000000000000000e+02,nan
