raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-4.105284665384322906e+00,-2.657379813070687824e+00,-1.316143999399665310e+00,-1.314094916524492396e+00,-2.231338763093634547e+00,-2.921765702957086042e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,6.502757122754517719e-05,-1.260136176687432288e-03,1.198720602788317513e-04
1.000000000000000000e+00,-6.553887155580279122e-01,-1.174323909017255696e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-2.191925442622969289e+00,-2.823387499432278069e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,4.410984248678561648e-01,3.251841347624950807e-01,5.344812853987232160e+00,3.774708900449751159e+00,9.609136237223360411e+00,6.767438560925981506e+00
2.000000000000000000e+00,-6.553887155580279122e-01,-1.178912572086727950e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-2.152240476459837737e+00,-2.725009295907470097e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,-3.251841347624950807e-01,-1.860067631199123495e-02,-3.786257817686251581e+00,-1.260136176687432288e-03,-6.767198816805423789e+00
3.000000000000000000e+00,-6.553887155580279122e-01,-1.178912572086727950e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-2.112555510296705741e+00,-2.627595584574081489e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,1.174399995018337271e-02,-1.260136176687432288e-03,1.198720602788317513e-04
4.000000000000000000e+00,-6.553887155580279122e-01,-1.171570711175572432e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-2.072697678692913215e+00,-2.530181873240693768e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,2.441251054420241415e-02,1.875138337755686765e-02,-1.260136176687432288e-03,1.198720602788317513e-04
5.000000000000000000e+00,-6.553887155580279122e-01,-1.171570711175572432e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-2.032839847089120688e+00,-2.432768161907305604e+00,-7.847823851103342685e-01,-8.123578484869367067e-01,2.288310364434888555e+00,-9.712046466517781917e-01,7.775768395450596282e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,-1.862132823510178128e-02,-1.260136176687432288e-03,1.198720602788317513e-04
6.000000000000000000e+00,-6.553887155580279122e-01,-1.172488443789466928e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-1.992957320422376499e+00,-2.335354450573916996e+00,-7.988240439392986225e-01,-8.123578484869367067e-01,-7.879737533570455588e-01,-9.712046466517781917e-01,-8.645076309377249801e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-5.365849587008572619e-03,-2.270766904563620205e-03,-1.260136176687432288e-03,1.198720602788317513e-04
7.000000000000000000e+00,-6.553887155580279122e-01,-1.172488443789466928e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-1.953074793755632532e+00,-2.237940739240528387e+00,-7.782420909771796680e-01,-8.123578484869367067e-01,-7.816372081391300686e-01,-9.712046466517781917e-01,-8.643371434401141418e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,2.400822047018710912e-03,-1.260136176687432288e-03,1.198720602788317513e-04
8.000000000000000000e+00,-6.553887155580279122e-01,-1.175241641631150191e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-1.913068791774130473e+00,-2.140527027907139335e+00,-7.659330628465943480e-01,-8.123578484869367067e-01,-7.778476399926281815e-01,-9.712046466517781917e-01,-8.643371434401141418e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-1.198326294949990378e-02,-6.942355856145951756e-03,-1.260136176687432288e-03,1.198720602788317513e-04
9.000000000000000000e+00,-6.553887155580279122e-01,-1.175241641631150191e+00,-1.291558334831872878e+00,-1.314094916524492396e+00,-1.873062789792628635e+00,-2.043113316573751170e+00,-7.601090264037074773e-01,-8.123578484869367067e-01,-7.760545997335691615e-01,-9.712046466517781917e-01,-8.602872715195107878e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,7.072410998601041596e-03,-1.260136176687432288e-03,1.198720602788317513e-04
