Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
0.000000000000000000e+00,1.030000000000000000e+02,8.300000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,nan,nan,nan
2.000000000000000000e+00,nan,8.250000000000000000e+02,nan
3.000000000000000000e+00,nan,nan,nan
4.000000000000000000e+00,nan,8.270000000000000000e+02,nan
5.000000000000000000e+00,nan,nan,nan
6.000000000000000000e+00,nan,8.805000000000000000e+02,nan
7.000000000000000000e+00,nan,nan,nan
8.000000000000000000e+00,1.020000000000000000e+02,8.265000000000000000e+02,nan
9.000000000000000000e+00,nan,nan,nan
1.000000000000000000e+01,nan,8.280000000000000000e+02,nan
1.100000000000000000e+01,nan,nan,nan
1.200000000000000000e+01,nan,8.305000000000000000e+02,nan
1.300000000000000000e+01,nan,nan,nan
1.400000000000000000e+01,nan,8.275000000000000000e+02,nan
1.500000000000000000e+01,nan,nan,nan
1.600000000000000000e+01,nan,8.230000000000000000e+02,nan
1.700000000000000000e+01,nan,nan,nan
1.800000000000000000e+01,1.030000000000000000e+02,8.335000000000000000e+02,nan
1.900000000000000000e+01,nan,8.285000000000000000e+02,1.000000000000000000e+00
2.000000000000000000e+01,nan,nan,nan
2.100000000000000000e+01,1.040000000000000000e+02,9.570000000000000000e+02,nan
2.200000000000000000e+01,nan,nan,nan
2.300000000000000000e+01,1.050000000000000000e+02,1.051000000000000000e+03,5.000000000000000000e+00
2.400000000000000000e+01,nan,nan,nan
2.500000000000000000e+01,1.130000000000000000e+02,1.683000000000000000e+03,1.100000000000000000e+01
2.600000000000000000e+01,nan,nan,nan
2.700000000000000000e+01,1.170000000000000000e+02,1.654000000000000000e+03,1.700000000000000000e+01
2.800000000000000000e+01,nan,nan,nan
2.900000000000000000e+01,1.080000000000000000e+02,1.189500000000000000e+03,2.000000000000000000e+01
3.000000000000000000e+01,nan,nan,nan
3.100000000000000000e+01,1.050000000000000000e+02,1.186500000000000000e+03,1.900000000000000000e+01
3.200000000000000000e+01,nan,nan,nan
3.300000000000000000e+01,1.040000000000000000e+02,1.015000000000000000e+03,1.500000000000000000e+01
3.400000000000000000e+01,nan,nan,nan
