raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-2.657648762007283061e+00,-1.316239373591974848e+00,-2.187553177311311714e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+00,-1.168989515226855236e+00,-1.291653256510572723e+00,-2.056873323044802859e+00,-1.296507221131462106e+00,5.365476315320489853e+00,3.788924218827008694e+00,4.410862222614317929e-01,3.251751783723601519e-01
2.000000000000000000e+00,-1.171742892378730305e+00,-1.291653256510572723e+00,-1.926193468778294227e+00,-1.292387241737892545e+00,-1.207643179143190817e-02,-3.795930599373672276e+00,-9.740765687880125010e-04,-3.251751783723601519e-01
3.000000000000000000e+00,-1.171742892378730305e+00,-1.291653256510572723e+00,-1.793063367244288830e+00,-1.288267262344322983e+00,-2.148642104456053269e-03,7.008619607143076052e-03,-9.740765687880125010e-04,0.000000000000000000e+00
4.000000000000000000e+00,-1.247919660247272633e+00,-1.291653256510572723e+00,-1.663281936975862463e+00,-1.284147282950753421e+00,-2.768174901107880448e-01,-1.938837469974946104e-01,-9.740765687880125010e-04,0.000000000000000000e+00
5.000000000000000000e+00,-1.247919660247272633e+00,-1.291653256510572723e+00,-1.533500506707435651e+00,-1.280027303557183860e+00,-2.148642104456053269e-03,1.938852397044804610e-01,-9.740765687880125010e-04,0.000000000000000000e+00
6.000000000000000000e+00,-1.187345362906022217e+00,-1.242481022347768693e+00,-1.396858384090017724e+00,-1.275907324163614298e+00,2.162627310090127764e-01,1.541739579337962629e-01,8.831465210916515929e-01,6.503503567447203038e-01
7.000000000000000000e+00,-1.187345362906022217e+00,-1.242481022347768693e+00,-1.260052911654766294e+00,-1.269727355073259956e+00,-2.148642104456053269e-03,-1.541724652268104401e-01,-9.740765687880125010e-04,-6.503503567447203038e-01
8.000000000000000000e+00,-1.159811591387271967e+00,-1.242481022347768693e+00,-1.266178529823509091e+00,-1.269727355073259956e+00,9.712925476530250013e-02,7.007947888999443986e-02,-9.740765687880125010e-04,0.000000000000000000e+00
9.000000000000000000e+00,-1.197441079129563768e+00,-1.242481022347768693e+00,-1.272059123265502523e+00,-1.269727355073259956e+00,-1.378284344931260952e-01,-1.658522539828940212e-01,-9.740765687880125010e-04,0.000000000000000000e+00
