# Time,raw_RPM,raw_SPEED
0.000000000000000000e+00,nan,0.000000000000000000e+00
1.000000000000000000e+00,7.995000000000000000e+02,nan
2.000000000000000000e+00,1.555500000000000000e+03,4.000000000000000000e+00
3.000000000000000000e+00,nan,nan
4.000000000000000000e+00,1.422000000000000000e+03,1.400000000000000000e+01
5.000000000000000000e+00,nan,nan
6.000000000000000000e+00,1.253000000000000000e+03,1.500000000000000000e+01
7.000000000000000000e+00,nan,nan
8.000000000000000000e+00,1.705500000000000000e+03,1.900000000000000000e+01
9.000000000000000000e+00,nan,nan
1.000000000000000000e+01,1.905500000000000000e+03,2.800000000000000000e+01
1.100000000000000000e+01,nan,nan
1.200000000000000000e+01,1.524000000000000000e+03,3.400000000000000000e+01
1.300000000000000000e+01,nan,nan
1.400000000000000000e+01,1.659000000000000000e+03,3.800000000000000000e+01
1.500000000000000000e+01,nan,nan
1.600000000000000000e+01,1.729500000000000000e+03,4.000000000000000000e+01
1.700000000000000000e+01,nan,nan
1.800000000000000000e+01,1.809500000000000000e+03,4.100000000000000000e+01
1.900000000000000000e+01,nan,nan
2.000000000000000000e+01,1.504000000000000000e+03,4.400000000000000000e+01
2.100000000000000000e+01,nan,nan
2.200000000000000000e+01,1.594500000000000000e+03,nan
2.300000000000000000e+01,nan,nan
2.400000000000000000e+01,1.568000000000000000e+03,nan
2.500000000000000000e+01,nan,nan
2.600000000000000000e+01,1.524000000000000000e+03,nan
2.700000000000000000e+01,1.401500000000000000e+03,4.300000000000000000e+01
2.800000000000000000e+01,nan,nan
2.900000000000000000e+01,1.316000000000000000e+03,4.100000000000000000e+01
3.000000000000000000e+01,nan,nan
3.100000000000000000e+01,1.205500000000000000e+03,3.800000000000000000e+01
3.200000000000000000e+01,nan,nan
3.300000000000000000e+01,1.169000000000000000e+03,2.700000000000000000e+01
3.400000000000000000e+01,nan,nan
3.500000000000000000e+01,8.035000000000000000e+02,1.100000000000000000e+01
3.600000000000000000e+01,nan,nan
3.700000000000000000e+01,1.416500000000000000e+03,3.000000000000000000e+00
3.800000000000000000e+01,nan,nan
3.900000000000000000e+01,1.800500000000000000e+03,1.300000000000000000e+01
4.000000000000000000e+01,nan,nan
4.100000000000000000e+01,1.743000000000000000e+03,2.000000000000000000e+01
4.200000000000000000e+01,nan,nan
4.300000000000000000e+01,2.014000000000000000e+03,3.000000000000000000e+01
4.400000000000000000e+01,nan,nan
4.500000000000000000e+01,1.520500000000000000e+03,3.500000000000000000e+01
4.600000000000000000e+01,nan,nan
4.700000000000000000e+01,1.716500000000000000e+03,3.900000000000000000e+01
4.800000000000000000e+01,nan,nan
4.900000000000000000e+01,1.788500000000000000e+03,4.100000000000000000e+01
5.000000000000000000e+01,nan,4.200000000000000000e+01
5.100000000000000000e+01,1.577000000000000000e+03,nan
5.200000000000000000e+01,nan,nan
5.300000000000000000e+01,1.149500000000000000e+03,nan
5.400000000000000000e+01,nan,nan
5.500000000000000000e+01,1.260500000000000000e+03,3.900000000000000000e+01
5.600000000000000000e+01,nan,3.100000000000000000e+01
5.700000000000000000e+01,1.340000000000000000e+03,nan
5.800000000000000000e+01,1.159000000000000000e+03,2.600000000000000000e+01
5.900000000000000000e+01,nan,nan
6.000000000000000000e+01,1.034000000000000000e+03,2.400000000000000000e+01
6.100000000000000000e+01,nan,nan
6.200000000000000000e+01,1.220000000000000000e+03,2.300000000000000000e+01
6.300000000000000000e+01,nan,nan
6.400000000000000000e+01,1.638500000000000000e+03,2.700000000000000000e+01
6.500000000000000000e+01,nan,nan
6.600000000000000000e+01,1.447000000000000000e+03,3.300000000000000000e+01
