raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-2.657648762007283061e+00,-1.316239373591974848e+00,-2.177425488605657655e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+00,-1.175414061914563657e+00,-1.291653256510572723e+00,-2.045683860523233477e+00,-1.300627200525031668e+00,5.342311472717546472e+00,3.772572514568491631e+00,4.410862222614317929e-01,3.251751783723601519e-01
2.000000000000000000e+00,-1.175414061914563657e+00,-1.291653256510572723e+00,-1.913942232440809521e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-3.772571021861505169e+00,-9.740765687880125010e-04,-3.251751783723601519e-01
3.000000000000000000e+00,-1.180003023834355291e+00,-1.291653256510572723e+00,-1.783180703265384137e+00,-1.296507221131462106e+00,-1.869495824941581202e-02,-1.167904240259066105e-02,-9.740765687880125010e-04,0.000000000000000000e+00
4.000000000000000000e+00,-1.181838608602272078e+00,-1.291653256510572723e+00,-1.652419174089958975e+00,-1.294447231434677326e+00,-8.767168562439956250e-03,7.008619607143076052e-03,-9.740765687880125010e-04,0.000000000000000000e+00
5.000000000000000000e+00,-1.181838608602272078e+00,-1.291653256510572723e+00,-1.520922570734284607e+00,-1.292387241737892545e+00,-2.148642104456053269e-03,4.672661855926359131e-03,-9.740765687880125010e-04,0.000000000000000000e+00
6.000000000000000000e+00,-1.175414061914563657e+00,-1.291653256510572723e+00,-1.389425967378610016e+00,-1.290327252041107764e+00,2.101620049848761107e-02,1.635245061200994721e-02,-9.740765687880125010e-04,0.000000000000000000e+00
7.000000000000000000e+00,-1.175414061914563657e+00,-1.267067139429170819e+00,-1.256132516026771118e+00,-1.286207272647538202e+00,-2.148642104456053269e-03,-1.635095790502409663e-02,4.410862222614317929e-01,3.251751783723601519e-01
8.000000000000000000e+00,-1.186427570522063712e+00,-1.267067139429170819e+00,-1.254744042575189900e+00,-1.284147282950753421e+00,-4.185980085235947723e-02,-2.803074666110768470e-02,-9.740765687880125010e-04,-3.251751783723601519e-01
9.000000000000000000e+00,-1.186427570522063712e+00,-1.267067139429170819e+00,-1.255969166208938281e+00,-1.284147282950753421e+00,-2.148642104456053269e-03,2.803223936809353181e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+01,-1.178167439066438726e+00,-1.267067139429170819e+00,-1.256785915298104461e+00,-1.284147282950753421e+00,2.763472695647151145e-02,2.102436611444337758e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.100000000000000000e+01,-1.178167439066438726e+00,-1.267067139429170819e+00,-1.183278497273193341e+00,-1.284147282950753421e+00,-2.148642104456053269e-03,-2.102287340745753394e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.200000000000000000e+01,-1.159811591387271967e+00,-1.267067139429170819e+00,-1.109771079248282222e+00,-1.275907324163614298e+00,6.403662247538298435e-02,4.671990137782727065e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.300000000000000000e+01,-1.159811591387271967e+00,-1.267067139429170819e+00,-1.111812951971196339e+00,-1.267667365376475175e+00,-2.148642104456053269e-03,-4.671840867084142007e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.400000000000000000e+01,-1.189180947673938782e+00,-1.291653256510572723e+00,-1.113854824694110679e+00,-1.261487396286120832e+00,-1.080450654321985227e-01,-7.474990168544203006e-02,-4.430343753990078626e-01,-3.251751783723601519e-01
1.500000000000000000e+01,-1.189180947673938782e+00,-1.291653256510572723e+00,-1.055212240092014975e+00,-1.249127458105412147e+00,-2.148642104456053269e-03,7.475139439242788064e-02,-9.740765687880125010e-04,3.251751783723601519e-01
