# Time,raw_RPM,raw_SPEED
0.000000000000000000e+00,8.180000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,nan,nan
2.000000000000000000e+00,8.155000000000000000e+02,nan
3.000000000000000000e+00,nan,nan
4.000000000000000000e+00,8.115000000000000000e+02,nan
5.000000000000000000e+00,nan,2.000000000000000000e+00
6.000000000000000000e+00,8.020000000000000000e+02,nan
7.000000000000000000e+00,8.130000000000000000e+02,4.000000000000000000e+00
8.000000000000000000e+00,nan,nan
9.000000000000000000e+00,nan,3.000000000000000000e+00
1.000000000000000000e+01,8.360000000000000000e+02,nan
1.100000000000000000e+01,nan,0.000000000000000000e+00
1.200000000000000000e+01,9.290000000000000000e+02,nan
1.300000000000000000e+01,1.679000000000000000e+03,1.000000000000000000e+01
1.400000000000000000e+01,nan,nan
1.500000000000000000e+01,8.470000000000000000e+02,1.400000000000000000e+01
1.600000000000000000e+01,nan,nan
1.700000000000000000e+01,8.180000000000000000e+02,1.200000000000000000e+01
1.800000000000000000e+01,nan,nan
1.900000000000000000e+01,1.159500000000000000e+03,1.400000000000000000e+01
2.000000000000000000e+01,nan,nan
2.100000000000000000e+01,1.247500000000000000e+03,1.500000000000000000e+01
2.200000000000000000e+01,nan,nan
2.300000000000000000e+01,1.215000000000000000e+03,nan
2.400000000000000000e+01,nan,nan
2.500000000000000000e+01,8.500000000000000000e+02,1.400000000000000000e+01
2.600000000000000000e+01,nan,1.300000000000000000e+01
2.700000000000000000e+01,8.295000000000000000e+02,nan
2.800000000000000000e+01,nan,7.000000000000000000e+00
2.900000000000000000e+01,7.915000000000000000e+02,nan
3.000000000000000000e+01,8.070000000000000000e+02,6.000000000000000000e+00
3.100000000000000000e+01,nan,nan
3.200000000000000000e+01,1.468000000000000000e+03,1.100000000000000000e+01
3.300000000000000000e+01,nan,nan
3.400000000000000000e+01,1.486500000000000000e+03,1.700000000000000000e+01
3.500000000000000000e+01,nan,nan
3.600000000000000000e+01,1.699500000000000000e+03,2.500000000000000000e+01
3.700000000000000000e+01,nan,nan
3.800000000000000000e+01,1.384000000000000000e+03,2.900000000000000000e+01
3.900000000000000000e+01,nan,nan
4.000000000000000000e+01,1.219000000000000000e+03,2.800000000000000000e+01
4.100000000000000000e+01,nan,nan
4.200000000000000000e+01,1.030500000000000000e+03,2.400000000000000000e+01
4.300000000000000000e+01,nan,nan
4.400000000000000000e+01,1.649000000000000000e+03,nan
4.500000000000000000e+01,nan,nan
4.600000000000000000e+01,1.327000000000000000e+03,2.900000000000000000e+01
4.700000000000000000e+01,nan,3.500000000000000000e+01
4.800000000000000000e+01,1.513500000000000000e+03,nan
4.900000000000000000e+01,nan,nan
5.000000000000000000e+01,1.493500000000000000e+03,nan
5.100000000000000000e+01,nan,3.000000000000000000e+01
5.200000000000000000e+01,1.304500000000000000e+03,nan
5.300000000000000000e+01,nan,2.800000000000000000e+01
5.400000000000000000e+01,1.312000000000000000e+03,nan
5.500000000000000000e+01,1.552500000000000000e+03,3.500000000000000000e+01
5.600000000000000000e+01,nan,nan
5.700000000000000000e+01,1.738000000000000000e+03,4.000000000000000000e+01
5.800000000000000000e+01,nan,nan
5.900000000000000000e+01,1.622500000000000000e+03,3.800000000000000000e+01
6.000000000000000000e+01,nan,nan
6.100000000000000000e+01,1.489500000000000000e+03,3.400000000000000000e+01
6.200000000000000000e+01,nan,nan
6.300000000000000000e+01,1.469000000000000000e+03,nan
6.400000000000000000e+01,nan,nan
6.500000000000000000e+01,1.550500000000000000e+03,3.500000000000000000e+01
6.600000000000000000e+01,nan,nan
6.700000000000000000e+01,1.403000000000000000e+03,3.200000000000000000e+01
6.800000000000000000e+01,nan,nan
6.900000000000000000e+01,1.374500000000000000e+03,3.100000000000000000e+01
7.000000000000000000e+01,nan,3.200000000000000000e+01
7.100000000000000000e+01,1.396000000000000000e+03,nan
7.200000000000000000e+01,nan,3.500000000000000000e+01
